name,change_30,change_10,vol_30,vol_10,start_10,close_10,status,notes
AAPL,-0.267,-0.33,784805933,230236133,201.5,201.28,❌ Downtrend,Both windows declining. Avoid or exit.; Volume tapering. Possibly quiet accumulation or weakness.
MARA,-0.084,0.724,686590219,192047919,14.18,15.05,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
META,-0.053,0.964,174347674,56423474,698.53,731.01,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
MSFT,0.351,0.54,283656372,98217772,486.0,496.67,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NFLX,0.153,1.056,39699567,11973767,1253.54,1324.37,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NVDA,0.483,1.232,2680296577,947742377,144.17,156.96,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
NVOS,10.952,8.332,72000,9600,0.0,0.0,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
PLTR,0.373,-0.692,1117813854,342824954,139.92,138.66,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.; Short-term rejection despite bullish 30D
PYPL,-0.193,0.054,152696572,43188672,72.01,73.1,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
LCID,-0.456,-1.088,1850386935,695209535,2.16,2.12,❌ Downtrend,Both windows declining. Avoid or exit.; Volume tapering. Possibly quiet accumulation or weakness.
QQQ,0.081,0.366,664765516,218894716,531.65,547.28,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
RIOT,0.857,1.798,651197534,215883434,9.27,10.45,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SMCI,0.787,1.314,636128681,319678781,40.89,47.88,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SNAP,0.018,0.336,516337810,201152210,7.91,8.55,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SOFI,1.223,1.838,1060669669,332622369,15.36,17.35,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
SPY,0.082,0.342,1085318737,339323537,600.15,613.5,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
TQQQ,0.227,1.056,1004535384,289133584,74.49,81.04,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
TSLA,0.251,-0.508,1750930927,561280327,348.68,322.79,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.; Short-term rejection despite bullish 30D
UPST,0.393,0.672,91002525,29983425,59.07,63.5,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
RBLX,0.671,0.282,121793877,28792977,103.49,104.83,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
JPM,0.617,0.828,123691663,40118663,278.27,286.58,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
IWM,0.017,0.354,502243295,147225995,211.77,215.37,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
IONQ,-0.255,-0.944,369900508,93001808,41.14,39.92,❌ Downtrend,Both windows declining. Avoid or exit.; Volume tapering. Possibly quiet accumulation or weakness.; Short-term rejection despite bullish 30D
ABNB,-0.415,-0.152,69391095,19786395,130.53,133.44,❌ Downtrend,Both windows declining. Avoid or exit.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
AI,-0.647,0.062,74437289,22942389,23.41,24.19,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
AMC,-0.544,0.304,101240921,22293121,2.99,3.02,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
AMD,0.351,0.522,878280124,320274924,129.58,143.24,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
AMZN,-0.041,-0.092,581465042,190841242,208.47,218.21,❌ Downtrend,Both windows declining. Avoid or exit.; Volume tapering. Possibly quiet accumulation or weakness.
BA,0.393,0.834,141290008,30911808,201.31,212.04,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
BABA,-0.177,0.006,167687109,57439609,113.09,113.78,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
BB,0.009,-0.696,293259538,157542138,4.32,4.54,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.
CHPT,0.482,2.18,248114390,67707290,0.68,0.75,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
COIN,2.003,2.218,253783249,123737549,307.59,352.04,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
COST,-0.275,0.07,29723448,9407648,1004.48,989.13,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
CVX,-0.084,-0.954,149266280,40314480,146.86,143.1,❌ Downtrend,Both windows declining. Avoid or exit.; Volume tapering. Possibly quiet accumulation or weakness.; Short-term rejection despite bullish 30D
DIA,0.123,0.47,47912477,17465277,425.72,437.03,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
DKNG,1.091,0.268,136232462,40649262,41.46,42.47,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
FUBO,-0.09,1.526,142379689,49823789,3.18,3.5,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.
GME,-0.18,0.334,413501652,50071552,22.82,23.67,🔁 Possible Reversal,10D showing recovery while 30D still down.; Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
GOOGL,0.029,0.252,552078127,188662927,165.19,172.73,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.; Early breakout after 30D weakness
HOOD,0.806,0.038,545268815,162431415,76.35,83.05,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
INTC,0.736,0.88,1448070759,399100059,21.19,22.57,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
WMT,0.014,0.282,241347583,80244183,97.87,97.36,✅ Strong Uptrend,Volume tapering. Possibly quiet accumulation or weakness.
XOM,0.058,-0.95,310246454,94698754,111.74,108.98,"⚠️ 10D Weakness, 30D Strong",Short-term pullback. Watch for bounce or fail.; Volume tapering. Possibly quiet accumulation or weakness.; Short-term rejection despite bullish 30D
